t,E_mean,E_var
2.000000000000000000e+02,-3.720000000000000000e+02,3.008000000000000114e+02
4.000000000000000000e+02,-3.840000000000000000e+02,1.363200000000000045e+03
6.000000000000000000e+02,-3.800000000000000000e+02,1.984000000000000057e+02
8.000000000000000000e+02,-3.456000000000000227e+02,2.662399999999999523e+02
1.000000000000000000e+03,-3.791999999999999886e+02,1.276159999999999854e+03
1.200000000000000000e+03,-3.408000000000000114e+02,1.711359999999999900e+03
1.400000000000000000e+03,-4.008000000000000114e+02,1.519360000000000127e+03
1.600000000000000000e+03,-3.600000000000000000e+02,1.094400000000000091e+03
1.800000000000000000e+03,-4.008000000000000114e+02,4.441599999999999682e+02
2.000000000000000000e+03,-3.711999999999999886e+02,2.120960000000000036e+03
2.200000000000000000e+03,-3.760000000000000000e+02,1.222400000000000091e+03
2.400000000000000000e+03,-3.543999999999999773e+02,1.930239999999999782e+03
2.600000000000000000e+03,-3.711999999999999886e+02,4.761599999999999682e+02
2.800000000000000000e+03,-3.703999999999999773e+02,4.006399999999999864e+02
3.000000000000000000e+03,-3.960000000000000000e+02,9.152000000000000455e+02
3.200000000000000000e+03,-3.968000000000000114e+02,7.705599999999999454e+02
3.400000000000000000e+03,-3.680000000000000000e+02,7.232000000000000455e+02
3.600000000000000000e+03,-3.823999999999999773e+02,2.461439999999999600e+03
3.800000000000000000e+03,-3.848000000000000114e+02,5.977599999999999909e+02
4.000000000000000000e+03,-3.728000000000000114e+02,1.263360000000000127e+03
4.200000000000000000e+03,-3.776000000000000227e+02,2.122239999999999782e+03
4.400000000000000000e+03,-3.368000000000000114e+02,2.351360000000000127e+03
4.600000000000000000e+03,-3.640000000000000000e+02,4.160000000000000000e+02
4.800000000000000000e+03,-4.136000000000000227e+02,1.027840000000000146e+03
5.000000000000000000e+03,-4.168000000000000114e+02,3.481600000000000250e+02
5.200000000000000000e+03,-3.911999999999999886e+02,2.748160000000000309e+03
5.400000000000000000e+03,-4.008000000000000114e+02,1.615359999999999900e+03
5.600000000000000000e+03,-3.448000000000000114e+02,2.393600000000000421e+02
5.800000000000000000e+03,-3.743999999999999773e+02,2.013440000000000055e+03
6.000000000000000000e+03,-3.623999999999999773e+02,2.179839999999999691e+03
6.200000000000000000e+03,-3.960000000000000000e+02,3.059199999999999818e+03
6.400000000000000000e+03,-4.023999999999999773e+02,1.373440000000000055e+03
6.600000000000000000e+03,-3.351999999999999886e+02,1.692159999999999854e+03
6.800000000000000000e+03,-3.680000000000000000e+02,1.081599999999999909e+03
7.000000000000000000e+03,-3.616000000000000227e+02,1.091839999999999691e+03
7.200000000000000000e+03,-3.728000000000000114e+02,3.669759999999999764e+03
7.400000000000000000e+03,-3.848000000000000114e+02,2.351359999999999673e+03
7.600000000000000000e+03,-3.791999999999999886e+02,3.176960000000000036e+03
7.800000000000000000e+03,-3.703999999999999773e+02,7.526399999999998727e+02
8.000000000000000000e+03,-3.360000000000000000e+02,3.219199999999999818e+03
8.200000000000000000e+03,-3.536000000000000227e+02,2.218240000000000236e+03
8.400000000000000000e+03,-3.951999999999999886e+02,7.321599999999998545e+02
8.600000000000000000e+03,-3.680000000000000000e+02,6.976000000000000227e+02
8.800000000000000000e+03,-3.888000000000000114e+02,1.826559999999999945e+03
9.000000000000000000e+03,-3.551999999999999886e+02,1.583359999999999900e+03
9.200000000000000000e+03,-3.720000000000000000e+02,3.142400000000000091e+03
9.400000000000000000e+03,-3.671999999999999886e+02,1.045759999999999991e+03
9.600000000000000000e+03,-3.800000000000000000e+02,3.347199999999999818e+03
9.800000000000000000e+03,-4.031999999999999886e+02,6.745600000000000591e+02
1.000000000000000000e+04,-3.608000000000000114e+02,1.436160000000000082e+03
1.020000000000000000e+04,-3.480000000000000000e+02,6.656000000000000227e+02
1.040000000000000000e+04,-3.871999999999999886e+02,2.543359999999999673e+03
1.060000000000000000e+04,-3.768000000000000114e+02,8.537599999999998772e+02
1.080000000000000000e+04,-3.600000000000000000e+02,1.132799999999999955e+03
1.100000000000000000e+04,-3.816000000000000227e+02,1.591039999999999964e+03
1.120000000000000000e+04,-3.543999999999999773e+02,5.347839999999999236e+03
1.140000000000000000e+04,-4.248000000000000114e+02,4.697599999999999341e+02
1.160000000000000000e+04,-3.728000000000000114e+02,1.935359999999999900e+03
1.180000000000000000e+04,-3.696000000000000227e+02,8.102400000000000091e+02
1.200000000000000000e+04,-3.991999999999999886e+02,4.825599999999999454e+02
1.220000000000000000e+04,-3.800000000000000000e+02,7.616000000000000227e+02
1.240000000000000000e+04,-3.648000000000000114e+02,2.376960000000000036e+03
1.260000000000000000e+04,-3.680000000000000000e+02,1.312000000000000000e+03
1.280000000000000000e+04,-3.983999999999999773e+02,2.211840000000000146e+03
1.300000000000000000e+04,-3.703999999999999773e+02,5.414399999999999409e+02
1.320000000000000000e+04,-3.743999999999999773e+02,7.462399999999998954e+02
1.340000000000000000e+04,-3.936000000000000227e+02,9.382400000000001228e+02
1.360000000000000000e+04,-3.616000000000000227e+02,3.312640000000000327e+03
1.380000000000000000e+04,-3.768000000000000114e+02,1.109759999999999991e+03
1.400000000000000000e+04,-3.791999999999999886e+02,1.429759999999999991e+03
1.420000000000000000e+04,-3.831999999999999886e+02,2.645760000000000218e+03
1.440000000000000000e+04,-3.608000000000000114e+02,1.544960000000000036e+03
1.460000000000000000e+04,-3.648000000000000114e+02,1.333759999999999991e+03
1.480000000000000000e+04,-3.736000000000000227e+02,9.574400000000001683e+02
1.500000000000000000e+04,-3.888000000000000114e+02,5.081600000000000250e+02
1.520000000000000000e+04,-3.463999999999999773e+02,1.994240000000000236e+03
1.540000000000000000e+04,-3.703999999999999773e+02,5.926399999999999864e+02
1.560000000000000000e+04,-3.768000000000000114e+02,4.175359999999999673e+03
1.580000000000000000e+04,-4.103999999999999773e+02,3.622400000000000091e+02
1.600000000000000000e+04,-3.783999999999999773e+02,1.642240000000000236e+03
1.620000000000000000e+04,-3.351999999999999886e+02,8.601600000000000819e+02
1.640000000000000000e+04,-3.783999999999999773e+02,2.086400000000000148e+02
1.660000000000000000e+04,-3.560000000000000000e+02,1.670400000000000091e+03
1.680000000000000000e+04,-3.800000000000000000e+02,1.760000000000000000e+03
1.700000000000000000e+04,-3.880000000000000000e+02,5.632000000000000455e+02
1.720000000000000000e+04,-3.976000000000000227e+02,3.942400000000000091e+02
1.740000000000000000e+04,-3.703999999999999773e+02,9.446400000000001000e+02
1.760000000000000000e+04,-3.736000000000000227e+02,2.499839999999999691e+03
1.780000000000000000e+04,-3.871999999999999886e+02,3.349759999999999764e+03
1.800000000000000000e+04,-3.888000000000000114e+02,6.361599999999999682e+02
1.820000000000000000e+04,-3.583999999999999773e+02,2.320640000000000327e+03
1.840000000000000000e+04,-3.880000000000000000e+02,1.952000000000000000e+03
1.860000000000000000e+04,-3.871999999999999886e+02,2.114560000000000400e+03
1.880000000000000000e+04,-3.823999999999999773e+02,8.486400000000001000e+02
1.900000000000000000e+04,-3.360000000000000000e+02,2.361599999999999909e+03
1.920000000000000000e+04,-3.871999999999999886e+02,1.077759999999999991e+03
1.940000000000000000e+04,-3.608000000000000114e+02,3.580159999999999854e+03
1.960000000000000000e+04,-4.016000000000000227e+02,1.194240000000000236e+03
1.980000000000000000e+04,-3.616000000000000227e+02,1.597440000000000055e+03
2.000000000000000000e+04,-3.840000000000000000e+02,3.513599999999999909e+03
2.020000000000000000e+04,-3.671999999999999886e+02,7.193599999999999000e+02
2.040000000000000000e+04,-3.680000000000000000e+02,3.884800000000000182e+03
2.060000000000000000e+04,-3.816000000000000227e+02,1.866240000000000236e+03
2.080000000000000000e+04,-3.456000000000000227e+02,8.742400000000000091e+02
2.100000000000000000e+04,-3.800000000000000000e+02,5.056000000000000227e+02
2.120000000000000000e+04,-3.943999999999999773e+02,1.079040000000000191e+03
2.140000000000000000e+04,-3.831999999999999886e+02,1.071359999999999900e+03
2.160000000000000000e+04,-3.831999999999999886e+02,1.704960000000000264e+03
2.180000000000000000e+04,-3.856000000000000227e+02,1.328640000000000100e+03
2.200000000000000000e+04,-3.743999999999999773e+02,2.086399999999999579e+02
2.220000000000000000e+04,-3.600000000000000000e+02,4.441600000000000364e+03
2.240000000000000000e+04,-3.503999999999999773e+02,2.013440000000000055e+03
2.260000000000000000e+04,-3.743999999999999773e+02,1.591039999999999736e+03
2.280000000000000000e+04,-4.103999999999999773e+02,2.214399999999999977e+02
2.300000000000000000e+04,-3.416000000000000227e+02,7.462399999999998954e+02
2.320000000000000000e+04,-3.360000000000000000e+02,5.312000000000000455e+02
2.340000000000000000e+04,-3.976000000000000227e+02,5.094400000000000546e+02
2.360000000000000000e+04,-3.760000000000000000e+02,1.043200000000000045e+03
2.380000000000000000e+04,-3.816000000000000227e+02,1.565440000000000055e+03
2.400000000000000000e+04,-3.631999999999999886e+02,2.543359999999999673e+03
2.420000000000000000e+04,-3.416000000000000227e+02,1.318399999999999750e+02
2.440000000000000000e+04,-3.703999999999999773e+02,1.949440000000000055e+03
2.460000000000000000e+04,-3.856000000000000227e+02,2.557439999999999600e+03
2.480000000000000000e+04,-3.920000000000000000e+02,7.423999999999999773e+02
2.500000000000000000e+04,-3.896000000000000227e+02,8.038400000000000318e+02
2.520000000000000000e+04,-3.351999999999999886e+02,2.543359999999999673e+03
2.540000000000000000e+04,-3.728000000000000114e+02,3.484159999999999854e+03
2.560000000000000000e+04,-3.808000000000000114e+02,2.005760000000000218e+03
2.580000000000000000e+04,-3.768000000000000114e+02,3.733760000000000673e+03
2.600000000000000000e+04,-3.400000000000000000e+02,2.003200000000000045e+03
2.620000000000000000e+04,-3.863999999999999773e+02,9.574400000000001683e+02
2.640000000000000000e+04,-3.631999999999999886e+02,1.308160000000000309e+03
2.660000000000000000e+04,-3.711999999999999886e+02,6.745599999999999454e+02
2.680000000000000000e+04,-3.663999999999999773e+02,1.347840000000000146e+03
2.700000000000000000e+04,-3.616000000000000227e+02,1.702399999999999807e+02
2.720000000000000000e+04,-3.703999999999999773e+02,2.858240000000000236e+03
2.740000000000000000e+04,-3.776000000000000227e+02,1.699840000000000146e+03
2.760000000000000000e+04,-3.503999999999999773e+02,1.251839999999999918e+03
2.780000000000000000e+04,-3.863999999999999773e+02,2.327039999999999964e+03
2.800000000000000000e+04,-4.016000000000000227e+02,1.706239999999999782e+03
2.820000000000000000e+04,-3.688000000000000114e+02,8.281600000000000819e+02
2.840000000000000000e+04,-3.528000000000000114e+02,1.544959999999999809e+03
2.860000000000000000e+04,-3.840000000000000000e+02,2.086400000000000091e+03
2.880000000000000000e+04,-3.391999999999999886e+02,1.800960000000000264e+03
2.900000000000000000e+04,-3.663999999999999773e+02,3.395840000000000146e+03
2.920000000000000000e+04,-3.863999999999999773e+02,1.830399999999999920e+02
2.940000000000000000e+04,-3.791999999999999886e+02,4.185599999999999454e+02
2.960000000000000000e+04,-3.423999999999999773e+02,4.326399999999999864e+02
2.980000000000000000e+04,-3.591999999999999886e+02,2.428160000000000309e+03
3.000000000000000000e+04,-3.400000000000000000e+02,5.555199999999999818e+03
3.020000000000000000e+04,-3.608000000000000114e+02,1.199359999999999900e+03
3.040000000000000000e+04,-3.456000000000000227e+02,7.078399999999999181e+02
3.060000000000000000e+04,-3.768000000000000114e+02,2.863360000000000127e+03
3.080000000000000000e+04,-3.568000000000000114e+02,4.505599999999999454e+02
3.100000000000000000e+04,-3.991999999999999886e+02,9.945600000000000591e+02
3.120000000000000000e+04,-3.928000000000000114e+02,4.034559999999999036e+03
3.140000000000000000e+04,-3.600000000000000000e+02,2.028799999999999955e+03
3.160000000000000000e+04,-3.823999999999999773e+02,6.054400000000000546e+02
3.180000000000000000e+04,-3.760000000000000000e+02,2.515199999999999818e+03
3.200000000000000000e+04,-3.648000000000000114e+02,2.255360000000000127e+03
3.220000000000000000e+04,-3.303999999999999773e+02,1.053440000000000055e+03
3.240000000000000000e+04,-3.951999999999999886e+02,6.617599999999999909e+02
3.260000000000000000e+04,-3.616000000000000227e+02,3.075839999999999691e+03
3.280000000000000000e+04,-3.983999999999999773e+02,6.950399999999999636e+02
3.300000000000000000e+04,-3.696000000000000227e+02,2.186240000000000236e+03
3.320000000000000000e+04,-3.520000000000000000e+02,5.440000000000000000e+02
3.340000000000000000e+04,-3.496000000000000227e+02,9.190399999999999636e+02
3.360000000000000000e+04,-3.871999999999999886e+02,7.129599999999999227e+02
3.380000000000000000e+04,-3.640000000000000000e+02,1.087999999999999972e+02
3.400000000000000000e+04,-3.503999999999999773e+02,1.930240000000000236e+03
3.420000000000000000e+04,-3.920000000000000000e+02,9.152000000000000455e+02
3.440000000000000000e+04,-3.880000000000000000e+02,2.054400000000000091e+03
3.460000000000000000e+04,-3.536000000000000227e+02,7.718399999999999181e+02
3.480000000000000000e+04,-3.496000000000000227e+02,7.206400000000001000e+02
3.500000000000000000e+04,-3.600000000000000000e+02,2.048000000000000114e+02
3.520000000000000000e+04,-3.303999999999999773e+02,3.031039999999999964e+03
3.540000000000000000e+04,-3.848000000000000114e+02,1.327360000000000127e+03
3.560000000000000000e+04,-3.543999999999999773e+02,5.606399999999999864e+02
3.580000000000000000e+04,-3.471999999999999886e+02,2.786560000000000400e+03
3.600000000000000000e+04,-3.583999999999999773e+02,4.902399999999999523e+02
3.620000000000000000e+04,-3.680000000000000000e+02,7.360000000000000000e+02
3.640000000000000000e+04,-3.623999999999999773e+02,4.259840000000000146e+03
3.660000000000000000e+04,-3.751999999999999886e+02,3.375359999999999673e+03
3.680000000000000000e+04,-3.608000000000000114e+02,4.057599999999999909e+02
3.700000000000000000e+04,-3.743999999999999773e+02,2.896640000000000327e+03
3.720000000000000000e+04,-3.808000000000000114e+02,1.263360000000000127e+03
3.740000000000000000e+04,-3.720000000000000000e+02,2.547199999999999818e+03
3.760000000000000000e+04,-3.600000000000000000e+02,3.488000000000000000e+03
3.780000000000000000e+04,-3.808000000000000114e+02,8.345600000000000591e+02
3.800000000000000000e+04,-3.711999999999999886e+02,5.401600000000000819e+02
3.820000000000000000e+04,-3.936000000000000227e+02,1.232640000000000327e+03
3.840000000000000000e+04,-3.888000000000000114e+02,7.833600000000000136e+02
3.860000000000000000e+04,-3.743999999999999773e+02,1.802239999999999782e+03
3.880000000000000000e+04,-3.736000000000000227e+02,1.680640000000000100e+03
3.900000000000000000e+04,-3.440000000000000000e+02,1.184000000000000000e+03
3.920000000000000000e+04,-3.728000000000000114e+02,1.141759999999999991e+03
3.940000000000000000e+04,-3.591999999999999886e+02,8.665600000000000591e+02
3.960000000000000000e+04,-3.751999999999999886e+02,1.256960000000000036e+03
3.980000000000000000e+04,-3.471999999999999886e+02,2.479360000000000127e+03
4.000000000000000000e+04,-3.831999999999999886e+02,3.106559999999999945e+03
4.020000000000000000e+04,-3.391999999999999886e+02,1.954559999999999945e+03
4.040000000000000000e+04,-3.480000000000000000e+02,1.824000000000000000e+03
4.060000000000000000e+04,-4.023999999999999773e+02,1.181440000000000055e+03
4.080000000000000000e+04,-3.760000000000000000e+02,4.351999999999999886e+02
4.100000000000000000e+04,-4.143999999999999773e+02,3.366399999999999864e+02
4.120000000000000000e+04,-3.711999999999999886e+02,1.775360000000000127e+03
4.140000000000000000e+04,-3.656000000000000227e+02,1.360639999999999873e+03
4.160000000000000000e+04,-3.951999999999999886e+02,4.953599999999999568e+02
4.180000000000000000e+04,-3.751999999999999886e+02,2.191360000000000127e+03
4.200000000000000000e+04,-4.031999999999999886e+02,7.769599999999999227e+02
4.220000000000000000e+04,-3.623999999999999773e+02,1.706239999999999782e+03
4.240000000000000000e+04,-3.703999999999999773e+02,2.371840000000000146e+03
4.260000000000000000e+04,-3.696000000000000227e+02,2.551039999999999964e+03
4.280000000000000000e+04,-3.936000000000000227e+02,5.926399999999999864e+02
4.300000000000000000e+04,-3.416000000000000227e+02,5.030399999999999636e+02
4.320000000000000000e+04,-3.856000000000000227e+02,1.776640000000000100e+03
4.340000000000000000e+04,-3.503999999999999773e+02,3.127039999999999964e+03
4.360000000000000000e+04,-3.816000000000000227e+02,8.742400000000000091e+02
4.380000000000000000e+04,-3.751999999999999886e+02,5.721599999999999682e+02
4.400000000000000000e+04,-3.288000000000000114e+02,9.177599999999999909e+02
4.420000000000000000e+04,-3.920000000000000000e+02,1.638400000000000091e+03
4.440000000000000000e+04,-3.728000000000000114e+02,1.340159999999999854e+03
4.460000000000000000e+04,-3.896000000000000227e+02,8.678399999999999181e+02
4.480000000000000000e+04,-3.808000000000000114e+02,1.020160000000000082e+03
4.500000000000000000e+04,-3.831999999999999886e+02,1.813759999999999764e+03
4.520000000000000000e+04,-3.640000000000000000e+02,1.504000000000000000e+03
4.540000000000000000e+04,-3.480000000000000000e+02,2.105599999999999909e+03
4.560000000000000000e+04,-3.928000000000000114e+02,1.474559999999999945e+03
4.580000000000000000e+04,-3.591999999999999886e+02,6.489600000000000364e+02
4.600000000000000000e+04,-3.831999999999999886e+02,3.737600000000000477e+02
4.620000000000000000e+04,-3.896000000000000227e+02,4.134400000000000546e+02
4.640000000000000000e+04,-3.823999999999999773e+02,1.571840000000000146e+03
4.660000000000000000e+04,-3.768000000000000114e+02,2.044160000000000309e+03
4.680000000000000000e+04,-3.623999999999999773e+02,4.234239999999999782e+03
4.700000000000000000e+04,-3.911999999999999886e+02,2.159359999999999673e+03
4.720000000000000000e+04,-3.751999999999999886e+02,7.833599999999999000e+02
4.740000000000000000e+04,-3.776000000000000227e+02,9.510400000000001910e+02
4.760000000000000000e+04,-3.336000000000000227e+02,3.383039999999999964e+03
4.780000000000000000e+04,-3.591999999999999886e+02,1.692159999999999854e+03
4.800000000000000000e+04,-3.640000000000000000e+02,1.068799999999999955e+03
4.820000000000000000e+04,-3.671999999999999886e+02,4.825600000000000591e+02
4.840000000000000000e+04,-3.976000000000000227e+02,1.245440000000000055e+03
4.860000000000000000e+04,-3.840000000000000000e+02,1.657599999999999909e+03
4.880000000000000000e+04,-3.248000000000000114e+02,1.327360000000000127e+03
4.900000000000000000e+04,-3.800000000000000000e+02,1.299200000000000045e+03
4.920000000000000000e+04,-3.408000000000000114e+02,1.013759999999999877e+03
4.940000000000000000e+04,-4.016000000000000227e+02,5.670399999999999636e+02
4.960000000000000000e+04,-4.111999999999999886e+02,1.045759999999999991e+03
4.980000000000000000e+04,-3.440000000000000000e+02,2.835199999999999818e+03
5.000000000000000000e+04,-3.823999999999999773e+02,6.950399999999999636e+02
